Sample,Acidity,Sugar,Moisture,Starch,Acetic Acid,Ethanol,Lactic Acid
1,3.42,1.46,43.86,32.61,0.2,0.24,1.54
2,3.14,3.09,45.64,33.01,0.26,0.22,1.63
3,3.58,2.58,45.36,32.32,0.27,0.17,1.71
4,3.85,2.7,46.91,29.88,0.25,0.29,1.92
5,3.5,2.56,46.51,30.95,0.26,0.46,1.6
6,3.89,2.03,45.72,31.99,0.27,0.12,1.83
7,3.39,2.54,46.28,31.64,0.27,0.17,1.51
8,3.43,3.06,47.05,30.76,0.26,0.22,1.69
9,3.15,4.37,47.34,31.76,0.2,0.39,1.3
10,3.41,3.1,46.54,31.42,0.28,0.38,1.71
11,3.79,2.47,45.74,31.16,0.25,0.1,1.86
12,3.39,2.28,46.11,32.19,0.25,0.17,1.66
13,3.24,2.65,46.35,32.05,0.27,0.11,1.58
14,3.28,3.5,47.33,30.63,0.25,0.32,1.61
15,3.36,3.95,46.64,31.58,0.25,0.31,1.72
16,3.61,3.13,45.96,31.36,0.26,0.17,1.86
17,3.42,2.91,46.95,31.07,0.27,0.17,1.7
18,3.48,2.87,46.08,32.75,0.26,0.27,1.59
19,2.82,4.66,47.62,31.37,0.24,0.3,1.49
20,3.64,2.47,46.42,30.71,0.25,0.4,1.84
21,3.7,2.43,45.87,31.2,0.23,0.1,1.84
22,3.67,2.41,46.02,31.11,0.25,0.13,1.77
23,3.65,2.64,46.14,31.04,0.26,0.17,1.72
24,2.68,4.71,47.57,32.11,0.24,0.41,1.28
25,3.78,3.8,47.91,30.56,0.19,0.3,1.61
26,3.51,2.71,47.12,30.31,0.25,0.5,1.68
27,3.64,1.37,46.11,30.29,0.2,0.21,1.75
28,3.72,1.65,46.06,31.07,0.23,0.22,1.76
29,3.92,2.15,45.55,31.67,0.25,0.21,1.77
30,2.93,4.21,46.84,33.98,0.19,0.31,1.29
31,3.24,3.7,47.23,31.1,0.28,0.57,1.73
32,4.29,0.68,46.19,28.79,0.2,0.2,1.99
33,3.57,2.57,45.56,31.57,0.25,0.23,1.72
34,3.58,3.21,46.37,30.28,0.26,0.32,1.86
35,3.54,3.13,46.93,31.31,0.23,0.17,1.76
36,,,,,,,
37,3.9,0.68,46.27,29.47,0.22,0.11,1.77
38,3.69,2.67,46.73,30.36,0.27,0.18,1.74
39,3.7,3.22,47.03,30.2,0.25,0.11,1.88
40,2.58,5,47.88,33.09,0.21,0.32,1.19
41,3.52,2.71,46.78,31.01,0.26,0.52,1.67
42,3.36,1.58,45.43,31.18,0.2,0.2,1.63
43,3.75,2.37,45.74,32.25,0.27,0.17,1.7
44,3.49,3.26,46.12,32.12,0.27,0.17,1.75
45,3.78,3.36,46.24,31.32,0.21,0.24,1.81
46,2.67,5.04,46.92,33.58,0.2,0.4,1.33
47,3.53,2.67,46.52,30.27,0.26,0.43,1.76
48,3.78,1.96,46.64,29.9,0.23,0.15,1.82
49,3.5,3.1,47.29,29.81,0.26,0.1,1.74
50,3.72,3.35,47.46,29.98,0.27,0.17,1.83
51,2.92,4.36,46.44,33.22,0.24,0.29,1.43
52,3.68,3.31,48.6,30.14,0.2,0.34,1.67
53,3.24,2.96,46.54,32.08,0.28,0.38,1.58
58,0.33,1.18,38.18,40.38,0.06,0,0.09
59,0.42,0.64,38.57,39.61,0.05,0.38,0.2
60,0.35,0.58,38.56,39.4,0.03,0.04,0.06
61,0.41,0.99,37.63,40.1,0.07,0,0.1
62,0.38,0.63,39.24,39.05,0.05,0.38,0.18
63,0.37,0.39,37.85,38.63,0.03,0.09,0.06
64,0.52,1.23,38.64,39.66,0.06,0,0.22
65,0.48,0.8,38.68,39.08,0.08,0.02,0.16
66,0.44,0.59,39.01,38.89,0.06,0.36,0.21
67,0.49,0.38,36.84,38.85,0.06,0.05,0.14
68,0.46,0.83,38.02,40.16,0.08,0,0.16
69,0.48,1.13,37.8,39.79,0.08,0,0.18
70,0.49,0.81,38.42,39.49,0.07,0,0.15
71,0.47,0.4,38.74,38.82,0.07,0.35,0.18
72,0.5,0.66,37.95,39.56,0.05,0.07,0.12
73,0.43,0.99,37.21,40.16,0.07,0,0.16
74,0.48,0.65,39.28,38.84,0.07,0,0.16
75,0.64,0.59,38.47,38.36,0.11,0.18,0.27
76,0.54,0.43,37.93,39.07,0.06,0.09,0.17
77,0.32,1.31,39.44,39.18,0.04,0.09,0.23
78,0.54,0.56,38.77,39.25,0.09,0.31,0.23
79,0.57,0.46,37.89,38.74,0.06,0.05,0.15
80,0.28,0.79,38.22,40.44,0.07,0,0.08
81,0.35,1.01,37.83,39.95,0.08,0.08,0.18
82,0.43,0.88,38.08,39.52,0.06,0,0.06
83,0.32,0.87,38.76,40.49,0.05,0,0.11
84,0.42,0.67,37.83,39.41,0.09,0.21,0.16
85,0.43,0.39,36.71,39.47,0.04,0,0.06
86,0.38,0.57,38.83,39.86,0.08,0.02,0.1
87,0.45,0.6,37.99,39.52,0.08,0.2,0.13
88,0.45,0.5,37.17,38.92,0.04,0.04,0.07
89,0.46,0.91,37.51,40.22,0.07,0,0.17
90,0.42,0.71,38.26,39.29,0.07,0,0.1
91,0.37,0.82,38.28,40.18,0.07,0.11,0.12
92,0.45,0.59,36.75,39.7,0.04,0,0.09
96,,,,,,,
97,2.36,3.34,41.23,34.49,0.25,0.17,0.61
98,2.47,3.75,41.07,34.75,0.25,0.08,0.6
99,2.61,3.52,40.76,34.76,0.26,0.03,0.66
100,2.48,3.28,40.53,34.91,0.27,0,0.61
101,1.96,2.1,40.95,33.77,0.15,0.33,0.68
102,,,,,,,
103,2.33,3.31,42.4,33.48,0.23,0.31,0.67
104,2.21,4.05,41.6,33.49,0.27,0.37,0.58
105,2.46,3.99,43.01,33.17,0.28,0.39,0.69
106,2.22,3.93,41.81,34.39,0.26,0.15,0.62
107,2.55,3.75,40.86,34.88,0.25,0.09,0.72
108,2.47,3.86,40.96,34.35,0.27,0.18,0.62
109,,,,,,,
110,2.34,4.46,42.68,33.26,0.29,0.18,0.61
111,2.28,5.25,42.55,33.77,0.3,0.27,0.53
112,2.63,4.48,42.11,33.6,0.31,0.28,0.68
113,2.29,4.22,42.44,33.64,0.27,0.31,0.65
