s,id
Acinetobacter,1
Anaerosalibacter,2
Bacillus,3
Brevibacterium,4
Clostridium_sensu_stricto,5
Enterobacter,6
Kroppenstedtia,7
Lactobacillus,8
Lactococcus,9
Oceanobacillus,10
Okibacterium,11
Pantoea,12
Pediococcus,13
Saccharopolyspora,14
Staphylococcus,15
Thermoactinomyces,16
bec_Unassigned,17
Virgibacillus,18
Weissella,19
Acetobacter,20
Aerococcus,21
Akkermansia,22
Allobaculum,23
Aquabacterium,24
Arthrobacter,25
Bacteroides,26
Bifidobacterium,27
Blautia,28
Brachybacterium,29
Brevundimonas,30
Burkholderia,31
Chishuiella,32
Chryseobacterium,33
Clostridium_IV,34
Comamonas,35
Corynebacterium,36
Cronobacter,37
Deinococcus,38
Desemzia,39
Enhydrobacter,40
Enterococcus,41
Erwinia,42
Escherichia/Shigella,43
Eubacterium,44
Faecalibacterium,45
Franconibacter,46
Garciella,47
Gilliamella,48
Helicobacter,49
Klebsiella,50
Kocuria,51
Lachnospiracea_incertae_sedis,52
Leuconostoc,53
Listeria,54
Methylobacterium,55
Nocardiopsis,56
Oscillibacter,57
Paenibacillus,58
Parabacteroides,59
Paracoccus,60
Paraprevotella,61
Pisciglobus,62
Planifilum,63
Prevotella,64
Proteus,65
Providencia,66
Pseudomonas,67
Ralstonia,68
Rhizobium,69
Rhodococcus,70
Romboutsia,71
Roseburia,72
Ruminococcus,73
Saccharomonospora,74
Sebaldella,75
Serratia,76
Sinibacillus,77
Sphingobacterium,78
Sphingomonas,79
Stenotrophomonas,80
Streptococcus,81
Streptomyces,82
Streptophyta,83
Tepidanaerobacter,84
Tepidimicrobium,85
Tetragenococcus,86
Tomitella,87
Turicibacter,88
Variovorax,89
Veillonella,90
Xanthomonas,91
Yaniella,92
