s,id
Acinetobacter,1
Streptophyta,2
Okibacterium,3
Pelomonas,4
Dyadobacter,5
Janthinobacterium,6
Streptococcus,7
Gilliamella,8
Arthrobacter,9
Pseudomonas,10
Ralstonia,11
Enterobacter,12
Yaniella,13
Thermoactinomyces,14
Atopostipes,15
Variovorax,16
Clostridium_sensu_stricto,17
Pandoraea,18
Aquabacterium,19
Herbaspirillum,20
Sphingomonas,21
Enterococcus,22
Allobaculum,23
Tetragenococcus,24
Leuconostoc,25
Pantoea,26
Bradyrhizobium,27
Erwinia,28
Saccharomonospora,29
Mycobacterium,30
Gluconobacter,31
Legionella,32
Acetobacter,33
Barnesiella,34
Bacillus,35
Kroppenstedtia,36
Lactobacillus,37
Oceanobacillus,38
Pediococcus,39
Saccharopolyspora,40
Staphylococcus,41
bec_Unassigned,42
Virgibacillus,43
Weissella,44
Anaerosalibacter,45
Bifidobacterium,46
Brachybacterium,47
Brevibacterium,48
Corynebacterium,49
Cronobacter,50
Escherichia/Shigella,51
Klebsiella,52
Kocuria,53
Megasphaera,54
Nocardiopsis,55
Rhodococcus,56
Streptomyces,57
