s,id
Acetobacter,1
Bacillus,2
Kroppenstedtia,3
Lactobacillus,4
Oceanobacillus,5
bec_Unassigned,6
Virgibacillus,7
Acidovorax,8
Acinetobacter,9
Actinomyces,10
Aerococcus,11
Aeromicrobium,12
Akkermansia,13
Alistipes,14
Allobaculum,15
Anaerosalibacter,16
Anaerostipes,17
Aquabacterium,18
Arthrobacter,19
Atopostipes,20
Bacteroides,21
Bifidobacterium,22
Blautia,23
Brachybacterium,24
Brevibacterium,25
Brevundimonas,26
Burkholderia,27
Butyricicoccus,28
Chishuiella,29
Chlorophyta,30
Chryseobacterium,31
Clostridium_IV,32
Clostridium_sensu_stricto,33
Clostridium_XVIII,34
Collinsella,35
Comamonas,36
Corynebacterium,37
Deinococcus,38
Dialister,39
Enhydrobacter,40
Enterobacter,41
Enterococcus,42
Escherichia/Shigella,43
Eubacterium,44
Faecalibacterium,45
Fusicatenibacter,46
Gemmiger,47
Gilliamella,48
Globicatella,49
Hyphomicrobium,50
Jeotgalicoccus,51
Klebsiella,52
Kocuria,53
Lachnospiracea_incertae_sedis,54
Lactococcus,55
Leuconostoc,56
Limnohabitans,57
Listeria,58
Luteococcus,59
Macrococcus,60
Megamonas,61
Megasphaera,62
Methylobacterium,63
Nocardiopsis,64
Okibacterium,65
Paenibacillus,66
Pantoea,67
Parabacteroides,68
Paracoccus,69
Parasutterella,70
Pediococcus,71
Phascolarctobacterium,72
Planifilum,73
Prevotella,74
Proteus,75
Pseudomonas,76
Pseudosphingobacterium,77
Ralstonia,78
Rhodococcus,79
Romboutsia,80
Ruminococcus,81
Saccharibacteria_genera_incertae_sedis,82
Saccharomonospora,83
Saccharopolyspora,84
Sebaldella,85
Sinibacillus,86
Snodgrassella,87
Sphingobacterium,88
Sphingomonas,89
Staphylococcus,90
Stenotrophomonas,91
Streptococcus,92
Streptomyces,93
Streptophyta,94
Tepidanaerobacter,95
Tepidimicrobium,96
Tetragenococcus,97
Thermoactinomyces,98
Tomitella,99
Turicibacter,100
Weissella,101
Yaniella,102
