s,id
Bordetella,1
Weissella,2
Rhodococcus,3
Caulobacter,4
Curvibacter,5
Streptococcus,6
Planifilum,7
Delftia,8
Methylobacterium,9
Legionella,10
Kroppenstedtia,11
bec_Unassigned,12
Dyadobacter,13
Brevundimonas,14
Massilia,15
Pandoraea,16
Ochrobactrum,17
Cronobacter,18
Sphingobacterium,19
Sphingomonas,20
Alcaligenes,21
Chishuiella,22
Aeromicrobium,23
Enterobacter,24
Lysinibacillus,25
Aerococcus,26
Actinomadura,27
Atopostipes,28
Ralstonia,29
Herbaspirillum,30
Sinibacillus,31
Tepidanaerobacter,32
Klebsiella,33
Escherichia/Shigella,34
Streptophyta,35
Chryseobacterium,36
Paenibacillus,37
Vagococcus,38
Bosea,39
Acidovorax,40
Pisciglobus,41
Glycomyces,42
Phreatobacter,43
Mumia,44
Methylophilus,45
Arthrobacter,46
Novosphingobium,47
Janthinobacterium,48
Aneurinibacillus,49
Bradyrhizobium,50
Okibacterium,51
Acinetobacter,52
Snodgrassella,53
Pseudosphingobacterium,54
Stenotrophomonas,55
Acetobacter,56
Listeria,57
Ruania,58
Anaerosalibacter,59
Bacillus,60
Lactobacillus,61
Oceanobacillus,62
Pediococcus,63
Pseudomonas,64
Saccharopolyspora,65
Staphylococcus,66
Virgibacillus,67
Aquabacterium,68
Bacteroides,69
Brachybacterium,70
Brevibacterium,71
Clostridium_sensu_stricto,72
Corynebacterium,73
Enterococcus,74
Erwinia,75
Gilliamella,76
Globicatella,77
Jeotgalicoccus,78
Kocuria,79
Lactococcus,80
Leuconostoc,81
Mycobacterium,82
Nocardiopsis,83
Pantoea,84
Pelomonas,85
Rhizobium,86
Romboutsia,87
Saccharomonospora,88
Streptomyces,89
Tepidimicrobium,90
Tetragenococcus,91
Thermoactinomyces,92
Variovorax,93
Yaniella,94
