s,id
Staphylococcus,1
bec_Unassigned,2
Saccharopolyspora,3
Acetobacter,4
Arthrobacter,5
Pseudomonas,6
Acinetobacter,7
Pediococcus,8
Virgibacillus,9
Weissella,10
Rhodococcus,11
Lactobacillus,12
Clostridium_sensu_stricto,13
Brachybacterium,14
Bacillus,15
Kroppenstedtia,16
Oceanobacillus,17
Anaerosalibacter,18
Brevibacterium,19
Corynebacterium,20
Enterococcus,21
Escherichia/Shigella,22
Nocardiopsis,23
Okibacterium,24
Pantoea,25
Streptophyta,26
Thermoactinomyces,27
Aquabacterium,28
Atopostipes,29
Enterobacter,30
Erwinia,31
Gilliamella,32
Klebsiella,33
Kocuria,34
Leuconostoc,35
Ralstonia,36
Saccharomonospora,37
Sphingomonas,38
Streptococcus,39
Streptomyces,40
Tetragenococcus,41
Yaniella,42

