s,id
ZDCB3,1
ZDCB1,2
ZDCH5,3
ZDCI4,4
ZDCI3,5
ZDCG2,6
ZDCI2,7
ZDCA1,8
ZDCF0,9
ZDCI1,10
ZDCG3,11
ZDCJ0,12
ZDCG5,13
ZDCE6,14
ZDCD0,15
ZDCB4,16
ZDCH1,17
ZDCA4,18
ZDCG4,19
ZDCF1,20
ZDCB2,21
ZDCI5,22
ZDCJ4,23
YDCD0,24
ZDCJ1,25
ZDCH3,26
YDCE0,27
EDCD1,28
ZDCA2,29
YDCC0,30
ZDCH2,31
YDCH4,32
EDCG2,33
ZDCC0,34
ZDCC2,35
EDCJ3,36
ZDCE1,37
ZDCC4,38
EDCB2,39
YDCI5,40
EDCH4,41
EDCI2,42
ZDCF4,43
EDCE3,44
EDCE1,45
EDCJ5,46
XDCG2,47
YDCE2,48
EDCC2,49
EDCA3,50
ZDCD1,51
XDCD3,52
XDCJ1,53
EDCA5,54
EDCF1,55
EDCG4,56
ZDCC1,57
ZDCF2,58
EDCC1,59
YDCG4,60
ZDCD2,61
EDCD4,62
EDCE2,63
ZDCG1,64
XDCI2,65
YDCI6,66
EDCE4_5,67
YDCA6,68
ZDCA5,69
YDCB5,70
EDCC3,71
EDCC5,72
EDCG1,73
EDCB1,74
ZDCH4,75
XDCB2,76
EDCE5,77
EDCC4,78
EDCA2,79
EDCB3,80
XDCH2,81
ZDCF5,82
EDCH5,83
EDCA4,84
EDCF2,85
YDCH5,86
EDCB4,87
EDCD3,88
YDCG3,89
XDCA3,90
EDCI4,91
EDCD2,92
EDCI5,93
YDCA5,94
XDCC2,95
YDCF6,96
EDCH2,97
ZDCF3,98
EDCI1,99
EDCJ2,100
EDCH1,101
EDCB5,102
XDCC3,103
EDCF5,104
YDCG5,105
EDCH3,106
EDCF4,107
YDCA2,108
EDCG3,109
YDCH2,110
ZDCD5,111
EDCJ1,112
XDCE3,113
YDCF2,114
XDCD4,115
XDCF2,116
YDCE6,117
YDCC6,118
ZDCJ2,119
ZDCJ6,120
EDCD5,121
EDCJ4_5,122
EDCA1,123
EDCF3,124
YDCH3,125
YDCA3,126
YDCB2,127
XDCF4,128
EDCI4_5,129
XDCB3,130
YDCI3,131
XDCE2,132
ZDCE2,133
XDCC1,134
YDCB3,135
XDCI3,136
YDCC4,137
YDCF5,138
YDCC5,139
ZDCD6,140
YDCE3,141
ZDCJ5,142
YDCD4,143
EDCJ4,144
YDCI2,145
EDCI3,146
ZDCD3,147
YDCF3,148
YDCG6,149
YDCG2,150
ZDCE4,151
ZDCD4,152
XDCA4,153
YDCH6,154
XDCJ4,155
YDCA4,156
YDCE4,157
XDCE1,158
YDCC3,159
YDCE5,160
ZDCG6,161
XDCE4,162
EDCE4,163
XDCG3,164
XDCD1,165
YDCD6,166
XDCD0,167
YDCJ6,168
XDCA2,169
XDCH4,170
YDCB6,171
YDCJ2,172
YDCB4,173
YDCD3,174
ZDCC3,175
YDCJ3,176
XDCB4,177
ZDCE3,178
ZDCB5,179
ZDCA3,180
YDCD5,181
XDCD2,182
ZDCE5,183
XDCI4,184
YDCJ4,185
ZDCC5,186
XDCC4,187
XDCF3,188
ZDCI6,189
XDCJ3,190
ZDCJ3,191
YDCI4,192
XDCG4,193
XDCJ2,194
ZDCE0,195
YDCJ5,196
XDCH3,197
YDCF4,198
YDCC2,199
YDCD2,200
